Code,Entity,suicide_rate,gdp_per_capita,alcohol_liters_per_year,avg_surface_temperature,sunshine_hours_year,latitude,unemployment_rate,gini_index,urban_population_pct,population_density,literacy_rate,homicide_rate,religiosity_share,one_person_households_pct,fruit_veg_consumption_kg_per_capita,meat_kg_per_capita,family_important_pct,friends_important_pct,drug_use_death_rate,overweight_prevalence_pct,median_age,life_expectancy,healthcare_expenditure_per_capita_ppp
KWT,Kuwait,2.283181818181818,63076.676636363634,0.0,26.52899572727273,,29.340042,1.9282727272727271,,99.95036363636363,175.88189363636363,94.9090909090909,1.5014870075,99.75805,,291.8360451818182,86.64092159090909,97.92786,91.55794,1.0109090909090908,76.08929636363636,30.201863636363637,77.72336818181817,2044.884377272727
LAO,Laos,4.946363636363636,5348.2773954545455,9.796190476190477,23.239335545454544,,18.502302,1.8079545454545447,0.356867805,30.156227272727275,27.731816045454547,71.057588,,99.941255,,250.7319731818182,20.98129059090909,,,0.0945454545454545,21.511707727272725,20.133909090909093,63.774877272727274,127.47366699999999
LBN,Lebanon,0.83,14463.39706818182,1.771904761904762,15.873629431818182,2944.0,33.920094,8.991318181818182,0.3183245,87.459,515.9601381818183,91.33333333333331,3.406488023076923,99.98188,,264.7437345454546,39.61436631818182,93.4583365,87.83332999999999,0.3404545454545454,61.50266272727272,26.4825,76.69858636363637,1019.285514090909
LBR,Liberia,5.583636363636364,1589.0285136363636,3.9395238095238096,25.17402486363636,,6.4522324,2.597318181818182,0.349833,48.18090909090909,42.419424590909095,45.62122,3.519095716666667,98.740203,9.1703893125,75.29507331818182,13.889377772727272,,,0.0181818181818181,27.91161181818182,17.491090909090907,58.23678181818182,91.2532935909091
LBY,Libya,5.031818181818182,16819.82181818182,0.011095238095238,22.58161431818182,3178.1,27.030277,19.173863636363635,,78.35713636363636,3.558635590909091,,,99.927025,,282.3210621666667,39.63019633333333,99.4634575,95.186215,2.249090909090909,63.06484954545454,24.19181818181818,71.71511818181818,967.6833059090909
LKA,Sri Lanka,20.78181818181818,10509.4175,2.5061904761904765,26.624865772727272,,7.615915,5.703409090909091,0.3860303916666667,18.351954545454547,340.0667259090909,91.6,4.239258114285714,99.95611,,79.85208109090908,7.705346836363637,,,0.655,25.821278636363637,29.335863636363637,73.99542727272727,340.3382059090909
LSO,Lesotho,22.773636363636363,2559.597377272727,3.657142857142857,11.499504340909091,,-29.579731,16.37240909090909,0.4803572149999999,24.778,67.70001450000001,81.1690675,42.0301875,98.439925,18.48401768333333,42.116910545454544,16.95345909090909,,,0.5545454545454546,36.65856636363637,19.69740909090909,48.63829545454546,204.02110209090907
LTU,Lithuania,36.86318181818182,30290.41259090909,13.347142857142858,7.546611818181819,1691.0,55.327023,10.381636363636362,0.3584644894444444,67.1055,49.50767218181818,99.94333333333331,6.942449157142857,93.045652,33.67142857142857,163.2970435,73.79758604545454,94.914396,78.604722,2.6672727272727275,55.614163181818185,39.7565,73.33429545454545,1561.6032377272727
LUX,Luxembourg,12.155,128606.80636363638,12.272857142857143,9.761559,1634.0,49.766823,4.921227272727273,0.3200456731818181,88.46031818181818,203.8458359090909,,0.8995522181818182,77.257927,30.04375,305.0972611363636,94.39030495454546,98.1479045,92.796555,2.132727272727273,51.17878636363636,37.73313636363636,79.92483636363636,5463.885436363636
LVA,Latvia,23.79590909090909,26812.694863636363,11.238571428571428,6.977317509090909,1754.0,56.851818,11.136954545454545,0.35659301,67.98827272727273,33.78885081818182,99.96333333333332,4.872581746153847,86.01566199999999,29.92142857142857,172.56592618181818,61.65876572727273,94.240128,76.53894199999999,1.564545454545455,53.58320409090909,40.183772727272725,72.78027272727273,1280.2911727272729
MAR,Morocco,3.8459090909090894,7183.13595909091,0.4728571428571428,18.697763227272727,3155.4666666666667,29.841692,10.150772727272727,0.4030125033333333,58.37913636363636,73.259728,62.5,1.6472382454545451,99.86934,5.880234065,201.76370413636363,29.40186072727273,99.039094,79.51775,1.2577272727272728,48.31593636363636,24.89340909090909,70.84865,331.0089209090909
